index,location,Actual_jobs,Actual_jobs_first
1876,"Calgary, AB",915,9
1726,"Greater Sudbury, ON",809,8
425,"Montréal, QC",792,7
797,"Ottawa, ON",717,7
1939,"Edmonton, AB",706,7
2256,"Kamloops, BC",686,6
2426,"Prince George, BC",659,6
2225,"Vancouver, BC",655,6
467,"Sherbrooke, QC",625,6
664,"Quebec City, QC",616,6
2255,"Kelowna, BC",555,5
1875,"Red Deer, AB",542,5
368,"Fredericton, NB",524,5
828,"Toronto, ON",509,5
2164,"Fort McMurray, AB",507,5
2222,"Abbotsford, BC",503,5
1998,"Lethbridge, AB",492,4
2198,"Grande Prairie, AB",477,4
1315,"Windsor, ON",471,4
1242,"Peterborough, ON",469,4
2223,"Burnaby, BC",466,4
2227,"Langley, BC",440,4
150,"Saint John, NB",435,4
226,"Halifax, NS",424,4
2281,"Victoria, BC",384,3
1210,"Brampton, ON",375,3
1357,"London, ON",372,3
3,"Moncton, NB",371,3
2384,"Penticton, BC",365,3
2242,"Richmond, BC",357,3
2224,"Surrey, BC",353,3
1191,"North Bay, ON",351,3
1247,"Barrie, ON",351,3
2282,"Nanaimo, BC",347,3
507,"Laval, QC",338,3
468,"Drummondville, QC",336,3
796,"Gatineau, QC",329,3
1228,"Burlington, ON",326,3
1451,"Belleville, ON",322,3
741,"Trois-Rivières, QC",317,3
1933,"Medicine Hat, AB",316,3
1215,"Markham, ON",315,3
2361,"Fort St. John, BC",314,3
1495,"Kingston, ON",306,3
2288,"Campbell River, BC",295,2
1205,"Mississauga, ON",295,2
432,"Brossard, QC",294,2
1232,"Vaughan, ON",285,2
7,"Charlottetown, PE",275,2
637,"Timmins, ON",265,2
2254,"Vernon, BC",260,2
1323,"Chatham-Kent, ON",254,2
434,"Granby, QC",253,2
447,"Saint-Hyacinthe, QC",252,2
2230,"Chilliwack, BC",250,2
1224,"Hamilton, ON",246,2
2439,"Terrace, BC",242,2
1268,"Cambridge, ON",238,2
1831,"Thunder Bay, ON",237,2
1676,"Sault Ste. Marie, ON",233,2
568,"Val-d'Or, QC",232,2
231,"Dartmouth, NS",224,2
2462,"Whitehorse, YT",223,2
1298,"Guelph, ON",222,2
960,"Rivière-du-Loup, QC",221,2
561,"Chicoutimi, QC",219,2
1273,"Waterloo, ON",218,2
688,"Saint-Georges, QC",216,2
1237,"Oakville, ON",213,2
2289,"Courtenay, BC",209,2
2073,"Cranbrook, BC",200,2
597,"Rimouski, QC",196,1
740,"Shawinigan, QC",189,1
662,"Lévis, QC",189,1
2434,"Williams Lake, BC",188,1
2470,"Yellowknife, NT",179,1
652,"Blainville, QC",179,1
569,"Rouyn-Noranda, QC",174,1
814,"Cornwall, ON",173,1
2235,"Coquitlam, BC",172,1
735,"Victoriaville, QC",164,1
2134,"Lloydminster, AB",161,1
1960,"Spruce Grove, AB",161,1
