location,Actual_jobs
"Cavendish, PE",2
"Prince Edward Island, PE",12
Prince Edward Island,2
"Moncton, NB",371
"Alberton, PE",5
"Kensington, PE",17
"Tyne Valley, PE",2
"Charlottetown, PE",275
"Miminegash, PE",1
"Cornwall, PE",12
"Richmond, PE",1
"Summerside, PE",71
"O'Leary, PE",8
"Bloomfield, PE",5
"Central Bedeque, PE",3
"Clyde River, PE",3
"Cap-Pelé, NB",9
"Ellerslie, PE",1
"West Point, PE",3
"Bloomfield Station, PE",1
"Wellington, PE",3
"Elmsdale, PE",1
"Bouctouche, NB",18
"York, PE",4
"North Rustico, PE",4
"Kinkora, PE",3
"Stratford, PE",10
"Cocagne, NB",1
"Borden-Carleton, PE",4
"Saint-Antoine, NB",4
"Shediac, NB",29
"Crapaud, PE",4
"Dieppe, NB",92
"Haute-aboujagane, NB",1
"Albany, PE",6
"New Annan, PE",9
"Fernwood, PE",1
"Scoudouc, NB",12
"Tignish, PE",3
"Hunter River, PE",4
"Breadalbane, PE",3
"Bedeque, PE",2
"Richibucto, NB",13
"Waterford, PE",2
"West Branch, NB",4
"Rexton, NB",4
"Freetown, PE",1
"Union Road, PE",1
"Newton, PE",1
"Escuminac, NB",2
"Queens, PE",2
"Petit-Cap, NB",1
"Neguac, NB",3
"Bay Du Vin, NB",7
"Tracadie, PE",1
"Sainte-anne-de-kent, NB",3
"Green Gables, PE",1
"Port Elgin, NB",3
"Lakeville, NB",1
"Indian Mountain, NB",1
"Notre-Dame, NB",1
"Lutes Mountain, NB",1
"Robichaud, NB",1
"East Wiltshire, PE",1
Canada,65
"Sainte-marie-de-kent, NB",1
"Baie-ste-anne, NB",8
"Grande-digue, NB",2
"Victoria, PE",1
"Slemon Park, PE",1
"Irishtown, NB",3
"Elsipogtog First Nation, NB",1
"New Jersey, NB",1
"Brackley Beach, PE",1
"Coburg, NB",1
"Montague, PE",23
"Orwell Cove, PE",2
"Georgetown, PE",1
"Southampton, PE",1
"Souris, PE",9
"Brooklyn, PE",1
"Lakeside, PE",2
"Millbrook, NS",4
"Village Green, PE",3
"Murray Harbour, PE",1
"Cardigan, PE",6
"South Shore, NS",4
"Marie, PE",3
"Vernon Bridge, PE",2
"New Glasgow, NS",65
"Malagash, NS",1
"Antigonish, NS",95
"Vernon River, PE",1
"Wallace, NS",9
"Pictou, NS",12
"Stellarton, NS",19
"Port Hood, NS",3
"Debert, NS",4
"Riverview, NB",13
"Amherst, NS",81
"Moncton Area, NB",11
Nova Scotia,8
"Hantsport, NS",5
"Kentville, NS",55
