Expected_jobs,Actual_jobs,City,State
5,13,Alberton,Prince Edward Island
371,346,Charlottetown,Prince Edward Island
13,19,Cornwall,Prince Edward Island
1,13,Georgetown,Prince Edward Island
19,18,Kensington,Prince Edward Island
22,27,Montague,Prince Edward Island
8,9,Souris,Prince Edward Island
11,16,Stratford,Prince Edward Island
82,80,Summerside,Prince Edward Island
87,91,Amherst,Nova Scotia
10,10,Annapolis Royal,Nova Scotia
87,90,Antigonish,Nova Scotia
22,22,Berwick,Nova Scotia
13,13,Bridgetown,Nova Scotia
113,116,Bridgewater,Nova Scotia
3,3,Canso,Nova Scotia
1,9,Clark's Harbour,Nova Scotia
35,35,Digby,Nova Scotia
3,5,Hantsport,Nova Scotia
63,64,Kentville,Nova Scotia
2,2,Lockeport,Nova Scotia
0,0,Louisburg,Nova Scotia
30,31,Lunenburg,Nova Scotia
5,7,Mahone Bay,Nova Scotia
24,25,Middleton,Nova Scotia
0,0,Mulgrave,Nova Scotia
71,73,New Glasgow,Nova Scotia
0,0,Old Bridgeport,Nova Scotia
7,6,Oxford,Nova Scotia
3,3,Parrsboro,Nova Scotia
18,17,Pictou,Nova Scotia
43,44,Port Hawkesbury,Nova Scotia
23,21,Shelburne,Nova Scotia
4,4,Springhill,Nova Scotia
23,27,Stellarton,Nova Scotia
4,4,Stewiacke,Nova Scotia
4,4,Trenton,Nova Scotia
160,161,Truro,Nova Scotia
10,9,Westville,Nova Scotia
34,37,Windsor,Nova Scotia
26,26,Wolfville,Nova Scotia
104,106,Yarmouth,Nova Scotia
107,109,Bathurst,New Brunswick
1,5,Beresford,New Brunswick
33,30,Bouctouche,New Brunswick
60,54,Campbellton,New Brunswick
16,15,Caraquet,New Brunswick
0,1,Carleton,New Brunswick
0,0,Coverdale,New Brunswick
10,9,Dalhousie,New Brunswick
210,191,Dieppe,New Brunswick
99,92,Edmundston,New Brunswick
602,540,Fredericton,New Brunswick
1,2,Grand Bay-Westfield,New Brunswick
29,29,Grand Falls,New Brunswick
2,3,Grand-Sault,New Brunswick
4,4,Hampton,New Brunswick
9,8,Hartland,New Brunswick
1,3,Lamèque,New Brunswick
0,0,Lancaster,New Brunswick
149,119,Miramichi,New Brunswick
836,755,Moncton,New Brunswick
10,10,Nackawic,New Brunswick
60,57,Oromocto,New Brunswick
0,0,Parrtown,New Brunswick
0,0,Portland,New Brunswick
28,37,Quispamsis,New Brunswick
17,13,Richibucto,New Brunswick
33,34,Riverview,New Brunswick
37,30,Rothesay,New Brunswick
40,40,Sackville,New Brunswick
20,21,Saint Andrews,New Brunswick
475,452,Saint John,New Brunswick
4,5,Saint-Léonard,New Brunswick
6,6,Saint-Quentin,New Brunswick
43,43,Shediac,New Brunswick
7,8,Shippagan,New Brunswick
0,0,Shippegan,New Brunswick
7,7,St. George,New Brunswick
0,0,St. Leonard,New Brunswick
21,18,St. Stephen,New Brunswick
52,48,Sussex,New Brunswick
9,9,Tracadie-Sheila,New Brunswick
46,47,Woodstock,New Brunswick
0,6,Abercorn,Quebec
45,45,Acton Vale,Quebec
0,0,Adamsville,Quebec
0,0,Ahuntsic-Cartierville,Quebec
0,0,Albanel,Quebec
103,95,Alma,Quebec
94,78,Amos,Quebec
18,17,Amqui,Quebec
0,0,Andréville,Quebec
55,52,Ange-Gardien,Quebec
0,1,Angliers,Quebec
427,390,Anjou,Quebec
427,0,Anjou,Quebec
427,390,Anjou,Quebec
427,0,Anjou,Quebec
0,0,Annaville,Quebec
0,1,Armagh,Quebec
0,0,Arthabaska,Quebec
25,25,Asbestos,Quebec
0,0,Aston-Jonction,Quebec
0,0,Auteuil,Quebec
0,0,Ayer's Cliff,Quebec
0,0,Ayersville,Quebec
24,24,Aylmer,Quebec
106,98,Baie-Comeau,Quebec
107,112,Baie-D'Urfé,Quebec
76,70,Baie-Saint-Paul,Quebec
3,3,Baie-Trinité,Quebec
0,0,Baie-de-Shawinigan,Quebec
0,0,Baieville,Quebec
0,0,Barkmere,Quebec
0,1,Barraute,Quebec
0,0,Barville,Quebec
43,39,Beaconsfield,Quebec
37,39,Beauceville,Quebec
0,0,Beauceville-Est,Quebec
38,33,Beauharnois,Quebec
0,0,Beaulac,Quebec
0,0,Beaulieu,Quebec
75,80,Beauport,Quebec
75,0,Beauport,Quebec
75,80,Beauport,Quebec
75,0,Beauport,Quebec
11,11,Beaupré,Quebec
20,20,Bedford,Quebec
0,0,Beebe Plain,Quebec
0,0,Belle-Plage,Quebec
2,2,Bellefeuille,Quebec
0,0,Belleterre,Quebec
214,177,Beloeil,Quebec
0,0,Bernierville,Quebec
74,57,Berthierville,Quebec
0,0,Bishopton,Quebec
0,0,Black Lake,Quebec
379,334,Blainville,Quebec
55,56,Bois-des-Filion,Quebec
308,288,Boisbriand,Quebec
23,18,Bonaventure,Quebec
0,0,Brome,Quebec
118,119,Bromont,Quebec
0,0,Brompton,Quebec
1,1,Bromptonville,Quebec
835,738,Brossard,Quebec
5,5,Brownsburg,Quebec
5,0,Brownsburg-Chatham,Quebec
5,4,Bryson,Quebec
11,11,Buckingham,Quebec
36,36,Bécancour,Quebec
1,1,Cabano,Quebec
0,0,Cadillac,Quebec
0,0,Calumet,Quebec
0,0,Calumet,Quebec
0,0,Calumet,Quebec
0,0,Calumet,Quebec
3,3,Campbell's Bay,Quebec
234,191,Candiac,Quebec
0,0,Cap-Chat,Quebec
10,10,Cap-Rouge,Quebec
1,1,Cap-Santé,Quebec
2,2,Cap-aux-Meules,Quebec
26,24,Cap-de-la-Madeleine,Quebec
0,0,Cap-à-l'Aigle,Quebec
32,27,Carignan,Quebec
0,0,Carillon,Quebec
0,0,Carleton,Quebec
0,0,Carleton--Saint-Omer,Quebec
0,0,Cascades-Point,Quebec
4,4,Causapscal,Quebec
140,125,Chambly,Quebec
11,11,Chandler,Quebec
7,7,Chapais,Quebec
0,0,Chapeau,Quebec
22,25,Charlemagne,Quebec
30,30,Charlesbourg,Quebec
30,0,Charlesbourg,Quebec
30,30,Charlesbourg,Quebec
30,0,Charlesbourg,Quebec
6,6,Charny,Quebec
56,54,Chibougamau,Quebec
273,226,Chicoutimi,Quebec
273,0,Chicoutimi,Quebec
273,226,Chicoutimi,Quebec
273,0,Chicoutimi,Quebec
4,4,Chomedey,Quebec
0,0,Chute-aux-Outardes,Quebec
12,12,Château-Richer,Quebec
238,205,Châteauguay,Quebec
0,0,Châteauguay-Centre,Quebec
0,0,Châteauguay-Heights,Quebec
2,2,Chénéville,Quebec
0,0,Clarenceville,Quebec
1,1,Clermont,Quebec
48,40,Coaticook,Quebec
3,3,Compton,Quebec
20,14,Contrecoeur,Quebec
2,3,Cookshire,Quebec
9,8,Cookshire-Eaton,Quebec
0,0,Coteau-Landing,Quebec
