Expected_jobs,Actual_jobs,City,State
5,57,Alberton,Prince Edward Island
389,385,Charlottetown,Prince Edward Island
16,17,Cornwall,Prince Edward Island
1,1,Georgetown,Prince Edward Island
25,24,Kensington,Prince Edward Island
22,24,Montague,Prince Edward Island
8,9,Souris,Prince Edward Island
313,6,Stratford,Prince Edward Island
81,78,Summerside,Prince Edward Island
89,98,Amherst,Nova Scotia
10,13,Annapolis Royal,Nova Scotia
81,69,Antigonish,Nova Scotia
18,19,Berwick,Nova Scotia
13,11,Bridgetown,Nova Scotia
129,130,Bridgewater,Nova Scotia
3,2,Canso,Nova Scotia
4,4,Clark's Harbour,Nova Scotia
25,27,Digby,Nova Scotia
3,4,Hantsport,Nova Scotia
151,129,Kentville,Nova Scotia
2,2,Lockeport,Nova Scotia
0,0,Louisburg,Nova Scotia
34,34,Lunenburg,Nova Scotia
2,3,Mahone Bay,Nova Scotia
7,8,Middleton,Nova Scotia
50,49,Mulgrave,Nova Scotia
103,100,New Glasgow,Nova Scotia
0,0,Old Bridgeport,Nova Scotia
5,6,Oxford,Nova Scotia
3,3,Parrsboro,Nova Scotia
9,8,Pictou,Nova Scotia
48,0,Port Hawkesbury,Nova Scotia
14,14,Shelburne,Nova Scotia
4,5,Springhill,Nova Scotia
106,1,Stellarton,Nova Scotia
2,2,Stewiacke,Nova Scotia
77,0,Trenton,Nova Scotia
179,157,Truro,Nova Scotia
49,7,Westville,Nova Scotia
33,32,Windsor,Nova Scotia
33,32,Wolfville,Nova Scotia
105,99,Yarmouth,Nova Scotia
112,110,Bathurst,New Brunswick
1,3,Beresford,New Brunswick
33,30,Bouctouche,New Brunswick
89,84,Campbellton,New Brunswick
17,18,Caraquet,New Brunswick
0,2,Carleton,New Brunswick
0,0,Coverdale,New Brunswick
9,8,Dalhousie,New Brunswick
172,158,Dieppe,New Brunswick
96,89,Edmundston,New Brunswick
594,533,Fredericton,New Brunswick
1,1,Grand Bay-Westfield,New Brunswick
47,45,Grand Falls,New Brunswick
45,1,Grand-Sault,New Brunswick
4,4,Hampton,New Brunswick
