Expected_jobs,Actual_jobs,City,State
27950,990,Toronto,Ontario
28312,978,Montreal,Quebec
16773,1062,Vancouver,British Columbia
7210,1024,Calgary,Alberta
7133,1018,Edmonton,Alberta
7861,1039,Ottawa,Ontario
3604,1002,Winnipeg,Manitoba
6896,1041,Quebec City,Quebec
4258,1039,Hamilton,Ontario
4287,1020,Kitchener,Ontario
2295,1013,London,Ontario
2881,1033,Victoria,British Columbia
2312,1018,Halifax,Nova Scotia
1958,1018,Oshawa,Ontario
1115,989,Windsor,Ontario
1423,1012,Saskatoon,Saskatchewan
1767,1010,St. Catharines,Ontario
1076,983,Regina,Saskatchewan
870,755,St. John's,Newfoundland and Labrador
1874,1032,Kelowna,British Columbia
1512,1011,Barrie,Ontario
1357,1014,Sherbrooke,Quebec
4175,517,Guelph,Ontario
1985,1040,Abbotsford,British Columbia
936,854,Kingston,Ontario
6209,357,Kanata,Ontario
969,785,Trois-Rivières,Quebec
1153,1012,Moncton,New Brunswick
601,477,Jonquière,Quebec
10377,878,Milton,Ontario
730,642,Red Deer,Alberta
1188,931,Brantford,Ontario
615,587,Thunder Bay,Ontario
8651,992,White Rock,British Columbia
838,763,Nanaimo,British Columbia
978,922,Sudbury,Ontario
572,526,Lethbridge,Alberta
3875,1022,Saint-Jean-sur-Richelieu,Quebec
541,513,Peterborough,Ontario
839,780,Kamloops,British Columbia
2714,1034,Saint-Jérôme,Quebec
763,648,Chilliwack,British Columbia
391,363,Sarnia,Ontario
23738,582,Châteauguay,Quebec
912,754,Drummondville,Quebec
644,565,Belleville,Ontario
535,502,Fort McMurray,Alberta
252,247,Sault Ste. Marie,Ontario
727,667,Prince George,British Columbia
335,319,Medicine Hat,Alberta
1483,104,Welland,Ontario
564,537,Grande Prairie,Alberta
1153,943,Airdrie,Alberta
1019,830,Granby,Quebec
712,635,Fredericton,New Brunswick
562,521,Saint John,New Brunswick
5293,612,Beloeil,Quebec
384,370,North Bay,Ontario
1174,638,Saint-Hyacinthe,Quebec
339,297,Brandon,Manitoba
672,602,Vernon,British Columbia
295,278,Cornwall,Ontario
900,740,Joliette,Quebec
441,380,Courtenay,British Columbia
437,396,Charlottetown,Prince Edward Island
612,490,Victoriaville,Quebec
368,333,Chatham,Ontario
8522,44,Georgetown,Ontario
1971,108,St. Thomas,Ontario
463,423,Woodstock,Ontario
1212,5,Bowmanville,Ontario
1266,937,Salaberry-de-Valleyfield,Quebec
321,207,Shawinigan,Quebec
231,226,Rimouski,Quebec
1303,885,Spruce Grove,Alberta
487,202,Sorel,Quebec
327,292,Campbell River,British Columbia
225,204,Prince Albert,Saskatchewan
477,453,Penticton,British Columbia
3182,18,Mission,British Columbia
441,392,Leamington,Ontario
119,116,Moose Jaw,Saskatchewan
7080,845,Stouffville,Ontario
227,219,Lloydminster,Alberta
409,361,Orillia,Ontario
460,396,Stratford,Ontario
535,468,Orangeville,Ontario
293,252,Cape Breton–Sydney,Nova Scotia
2197,773,Bradford,Ontario
1222,867,Leduc,Alberta
280,270,Timmins,Ontario
475,378,Okotoks,Alberta
489,418,Saint-Georges,Quebec
2040,4,Elmhurst Beach,Ontario
7221,706,Bolton,Ontario
276,254,Val-d'Or,Quebec
368,242,Cochrane,Alberta
572,9,Rothesay,New Brunswick
280,243,Midland,Ontario
1821,9,Innisfil,Ontario
