Actual_jobs,City,State
148,Roslyn,Washington
111,Sprague,Washington
1106,Gig Harbor,Washington
992,Tenino,Washington
649,Jamestown,Washington
1335,Three Lakes,Washington
71,Pateros,Washington
309,Rosburg,Washington
710,Parkland,Washington
921,Birch Bay,Washington
239,Ashford,Washington
783,Navy Yard City,Washington
120,Omak,Washington
290,Farmington,Washington
497,Buckley,Washington
15,Cathcart,Washington
565,Poulsbo,Washington
655,Anacortes,Washington
536,Maplewood,Washington
33,Creston,Washington
1028,Rockford,Washington
277,Wishram,Washington
448,Centralia,Washington
317,South Hill,Washington
634,Longview Heights,Washington
2,Erlands Point-Kitsap Lake,Washington
1004,Amboy,Washington
17,St. John,Washington
195,Dallesport,Washington
769,Mesa,Washington
16,Fife,Washington
335,Moses Lake North,Washington
143,Chewelah,Washington
224,Grayland,Washington
247,Kittitas,Washington
409,Camano,Washington
759,North Bonneville,Washington
0,Klickitat,Washington
232,Loon Lake,Washington
266,Newport,Washington
61,Mead,Washington
537,Cashmere,Washington
85,Aberdeen Gardens,Washington
0,Ocean Shores,Washington
38,Basin City,Washington
10,Wilkeson,Washington
648,Meadow Glade,Washington
84,Arlington Heights,Washington
540,Uniontown,Washington
18,Oakesdale,Washington
0,West Side Highway,Washington
0,Conconully,Washington
73,Latah,Washington
122,Elma,Washington
741,Tieton,Washington
9,Southworth,Washington
552,Danville,Washington
247,Toppenish,Washington
5,River Road,Washington
17,Geneva,Washington
0,Yakima,Washington
0,Moxee,Washington
10,Edmonds,Washington
39,Kalama,Washington
10,Laurier,Washington
11,Vashon,Washington
7,Country Homes,Washington
140,Darrington,Washington
19,Metaline Falls,Washington
1,Lyle,Washington
0,Cascade Valley,Washington
15,Spangle,Washington
16,Methow,Washington
41,Waterville,Washington
0,Lake Roesiger,Washington
0,Milton,Washington
0,Krupp,Washington
5,Alderton,Washington
4,DuPont,Washington
0,Edgewood,Washington
0,North Puyallup,Washington
3,Pacific Beach,Washington
0,Manson,Washington
4,Brewster,Washington
5,Battle Ground,Washington
13,Shoreline,Washington
0,Cosmopolis,Washington
145,Airway Heights,Washington
152,Grandview,Washington
26,Inchelium,Washington
32,Grand Coulee,Washington
88,Union,Washington
12,Torboy,Washington
7,Kelso,Washington
0,Westport,Washington
0,Junction City,Washington
0,Lake Ketchum,Washington
471,West Pasco,Washington
5,Des Moines,Washington
118,Davenport,Washington
10,Seattle,Washington
10,Carnation,Washington
6,Everett,Washington
1,Warden,Washington
52,Palouse,Washington
0,Terrace Heights,Washington
84,Clarkston,Washington
11,Elmer City,Washington
64,Mossyrock,Washington
3,Summit View,Washington
8,Suquamish,Washington
26,Newcastle,Washington
4,Stanwood,Washington
5,Kapowsin,Washington
0,Donald,Washington
1,South Prairie,Washington
0,Eschbach,Washington
4,Indianola,Washington
1,Reardan,Washington
0,Cowiche,Washington
5,Rocky Point,Washington
1,Burbank,Washington
355,Lakeland North,Washington
0,Granite Falls,Washington
31,Camas,Washington
10,Skokomish,Washington
25,Cusick,Washington
2,Rosalia,Washington
6,Longbranch,Washington
11,Granger,Washington
6,North Fort Lewis,Washington
0,Tampico,Washington
7,Tukwila,Washington
2,Cathlamet,Washington
1,Wenatchee,Washington
9,Port Ludlow,Washington
12,Castle Rock,Washington
63,Glacier,Washington
504,Index,Washington
3,Republic,Washington
21,Bellevue,Washington
6,Malo,Washington
0,Anderson Island,Washington
10,University Place,Washington
0,Montesano,Washington
7,Rainier,Washington
0,Fords Prairie,Washington
3,Roy,Washington
3,Oso,Washington
26,Marblemount,Washington
2,Elk Plain,Washington
30,Burlington,Washington
3,Beaux Arts Village,Washington
2,Olympia,Washington
0,East Wenatchee,Washington
0,Addy,Washington
4,Minnehaha,Washington
1,Bryn Mawr-Skyway,Washington
2,Satsop,Washington
12,Riverbend,Washington
18,Easton,Washington
6,Silverdale,Washington
2,Napavine,Washington
9,Lochsloy,Washington
3,Ellensburg,Washington
0,McKenna,Washington
0,Fairfield,Washington
16,Mansfield,Washington
3,Duvall,Washington
1,Markham,Washington
0,Waller,Washington
1,Longview,Washington
50,Richland,Washington
2,Rosedale,Washington
1,Vancouver,Washington
8,Bethel,Washington
5,Custer,Washington
1,Lofall,Washington
1,Fairwood,Washington
0,Winlock,Washington
2,Sumner,Washington
5,Cottage Lake,Washington
3,Woods Creek,Washington
0,Washougal,Washington
1,Sisco Heights,Washington
1,Canterwood,Washington
2,Wapato,Washington
5,Lake Goodwin,Washington
12,Banks Lake South,Washington
7,Kent,Washington
41,Bickleton,Washington
4,Ryderwood,Washington
4,La Conner,Washington
4,Martha Lake,Washington
80,George,Washington
2,Snohomish,Washington
2,Eatonville,Washington
70,Carson,Washington
10,Almira,Washington
5,Nooksack,Washington
0,Mount Vista,Washington
1,Lakeland South,Washington
4,Kenmore,Washington
16,Neah Bay,Washington
4,Cliffdell,Washington
72,Port Angeles East,Washington
2,Burien,Washington
11,Taholah,Washington
2,Wauna,Washington
22,Connell,Washington
20,Disautel,Washington
4,Orting,Washington
17,Colville,Washington
2,Marysville,Washington
361,Walla Walla,Washington
0,Zillah,Washington
9,Curlew,Washington
5,Key Center,Washington
6,Hoodsport,Washington
0,Spanaway,Washington
14,Mattawa,Washington
25,Clallam Bay,Washington
0,Prairie Ridge,Washington
7,Rockport,Washington
1,Copalis Beach,Washington
0,Frederickson,Washington
0,Asotin,Washington
11,Mill Creek,Washington
1,Bell Hill,Washington
3,Green Bluff,Washington
2,Clayton,Washington
0,Puyallup,Washington
0,Hockinson,Washington
2,Lake McMurray,Washington
1,Bucoda,Washington
12,Issaquah,Washington
14,Odessa,Washington
0,Hazel Dell,Washington
1,McMillin,Washington
9,Wilbur,Washington
0,Centerville,Washington
4,Nile,Washington
6,Spokane Valley,Washington
5,Woodland,Washington
1,Lewisville,Washington
0,Vantage,Washington
0,Gorst,Washington
3,Lake Morton-Berrydale,Washington
10,Ione,Washington
5,Bothell West,Washington
1,Vaughn,Washington
4,Black Diamond,Washington
3,Ferndale,Washington
1,Acme,Washington
3,White Center,Washington
1,Fairchild AFB,Washington
4,Pacific,Washington
1,Glenwood,Washington
0,Colfax,Washington
4,Silvana,Washington
10,Forks,Washington
9,Kirkland,Washington
0,Okanogan,Washington
3,Union Hill-Novelty Hill,Washington
0,Outlook,Washington
3,Lake Tapps,Washington
0,Cohassett Beach,Washington
15,Tonasket,Washington
3,Sunnyside,Washington
1,Lakeview,Washington
0,Carbonado,Washington
0,Pullman,Washington
2,Blyn,Washington
5,Brinnon,Washington
78,Friday Harbor,Washington
3,Orchards,Washington
3,Purdy,Washington
24,Tekoa,Washington
1,Tanner,Washington
0,Thorp,Washington
3,Artondale,Washington
4,Liberty Lake,Washington
1,Cheney,Washington
0,Sammamish,Washington
0,Cle Elum,Washington
1,Fern Prairie,Washington
1,Waverly,Washington
2,Lakewood,Washington
1,Lake Marcel-Stillwater,Washington
0,Central Park,Washington
9,Bridgeport,Washington
2,Larch Way,Washington
6,Lake Bosworth,Washington
0,Barberton,Washington
4,Sekiu,Washington
4,Brier,Washington
0,Spokane,Washington
2,Fall City,Washington
1,Pasco,Washington
1,Lyman,Washington
2,Oakville,Washington
0,Dash Point,Washington
4,Herron Island,Washington
0,West Clarkston-Highland,Washington
2,Royal City,Washington
1,Venersborg,Washington
0,Hoquiam,Washington
0,Willapa,Washington
10,Quilcene,Washington
8,Freeland,Washington
0,McCleary,Washington
0,Roosevelt,Washington
71,Long Beach,Washington
3,Trout Lake,Washington
3,Coulee Dam,Washington
2,Pine Grove,Washington
6,Langley,Washington
0,Sedro-Woolley,Washington
7,Hatton,Washington
2,Entiat,Washington
2,Bainbridge Island,Washington
5,Auburn,Washington
0,Ocean City,Washington
0,White Swan,Washington
0,Felida,Washington
1,Lacey,Washington
5,Gold Bar,Washington
6,Clyde Hill,Washington
0,Marcus,Washington
0,Malone,Washington
0,Bothell East,Washington
0,Yarrow Point,Washington
2,Steptoe,Washington
0,West Richland,Washington
8,Orient,Washington
4,Federal Way,Washington
0,Pe Ell,Washington
17,Bothell,Washington
0,South Wenatchee,Washington
257,Snoqualmie Pass,Washington
8,Hartline,Washington
0,Lake Forest Park,Washington
0,Crocker,Washington
286,Elbe,Washington
0,Ravensdale,Washington
0,Arlington,Washington
2,McChord AFB,Washington
10,Lebam,Washington
2,Lynden,Washington
0,Coupeville,Washington
11,Prescott,Washington
0,South Bend,Washington
0,Mabton,Washington
0,North Bend,Washington
4,Grapeview,Washington
0,Garfield,Washington
0,Rochester,Washington
23,Dayton,Washington
0,Algona,Washington
22,Mineral,Washington
1,Moclips,Washington
0,Bellingham,Washington
1,Vader,Washington
0,Tracyton,Washington
0,White Salmon,Washington
0,Peaceful Valley,Washington
0,East Renton Highlands,Washington
4,Metaline,Washington
0,Deming,Washington
2,Medical Lake,Washington
0,Aberdeen,Washington
0,Chehalis,Washington
0,Onalaska,Washington
0,Toledo,Washington
0,Everson,Washington
0,Belfair,Washington
0,Lynnwood,Washington
0,Colton,Washington
3,Malden,Washington
1,Ames Lake,Washington
0,Wilson Creek,Washington
0,North Yelm,Washington
1,Mirrormont,Washington
1,Town and Country,Washington
0,Tokeland,Washington
0,Snoqualmie,Washington
2,Bremerton,Washington
0,East Cathlamet,Washington
