Expected_jobs,City,State
0,South Creek,Washington
189,Roslyn,Washington
187,Sprague,Washington
27597,Gig Harbor,Washington
0,Lake Cassidy,Washington
3269,Tenino,Washington
1040,Jamestown,Washington
13932,Three Lakes,Washington
0,Curlew Lake,Washington
0,Chain Lake,Washington
181,Pateros,Washington
638,Rosburg,Washington
16111,Parkland,Washington
1657,Birch Bay,Washington
352,Ashford,Washington
27347,Navy Yard City,Washington
221,Omak,Washington
517,Farmington,Washington
13600,Buckley,Washington
26062,Cathcart,Washington
23989,Poulsbo,Washington
2892,Anacortes,Washington
34654,Maplewood,Washington
101,Creston,Washington
5670,Rockford,Washington
548,Wishram,Washington
2744,Centralia,Washington
14855,South Hill,Washington
1172,Longview Heights,Washington
22088,Erlands Point-Kitsap Lake,Washington
4417,Amboy,Washington
185,St. John,Washington
882,Dallesport,Washington
0,Ketron Island,Washington
1166,Mesa,Washington
17591,Fife,Washington
456,Moses Lake North,Washington
248,Chewelah,Washington
424,Grayland,Washington
406,Kittitas,Washington
4914,Camano,Washington
0,Monroe North,Washington
2043,North Bonneville,Washington
772,Klickitat,Washington
616,Loon Lake,Washington
474,Newport,Washington
4978,Mead,Washington
739,Cashmere,Washington
497,Aberdeen Gardens,Washington
365,Ocean Shores,Washington
1233,Basin City,Washington
11438,Wilkeson,Washington
17889,Meadow Glade,Washington
5019,Arlington Heights,Washington
1172,Uniontown,Washington
281,Oakesdale,Washington
1174,West Side Highway,Washington
206,Conconully,Washington
418,Latah,Washington
1763,Elma,Washington
1506,Tieton,Washington
35508,Southworth,Washington
29655,Danville,Washington
1521,Toppenish,Washington
730,River Road,Washington
2722,Geneva,Washington
1363,Yakima,Washington
1471,Moxee,Washington
28888,Edmonds,Washington
1972,Kalama,Washington
73,Laurier,Washington
35305,Vashon,Washington
4942,Country Homes,Washington
272,Darrington,Washington
54,Metaline Falls,Washington
840,Lyle,Washington
533,Cascade Valley,Washington
4521,Spangle,Washington
173,Methow,Washington
789,Waterville,Washington
9978,Lake Roesiger,Washington
24389,Milton,Washington
388,Krupp,Washington
15040,Alderton,Washington
11823,DuPont,Washington
24428,Edgewood,Washington
16111,North Puyallup,Washington
350,Pacific Beach,Washington
165,Manson,Washington
232,Brewster,Washington
15519,Battle Ground,Washington
30579,Shoreline,Washington
533,Cosmopolis,Washington
4554,Airway Heights,Washington
434,Grandview,Washington
182,Inchelium,Washington
125,Grand Coulee,Washington
2367,Union,Washington
56,Torboy,Washington
1258,Kelso,Washington
451,Westport,Washington
548,Junction City,Washington
4101,Lake Ketchum,Washington
2097,West Pasco,Washington
34806,Des Moines,Washington
277,Davenport,Washington
34248,Seattle,Washington
0,Lake Stickney,Washington
28521,Carnation,Washington
13109,Everett,Washington
458,Warden,Washington
785,Palouse,Washington
1373,Terrace Heights,Washington
1112,Clarkston,Washington
115,Elmer City,Washington
337,Mossyrock,Washington
15282,Summit View,Washington
28071,Suquamish,Washington
34150,Newcastle,Washington
4746,Stanwood,Washington
9467,Kapowsin,Washington
1480,Donald,Washington
0,Altoona,Washington
13679,South Prairie,Washington
1544,Eschbach,Washington
28258,Indianola,Washington
3149,Reardan,Washington
1492,Cowiche,Washington
0,Sunday Lake,Washington
3973,Rocky Point,Washington
2080,Burbank,Washington
32463,Lakeland North,Washington
146,Granite Falls,Washington
19163,Camas,Washington
1583,Skokomish,Washington
201,Cusick,Washington
353,Rosalia,Washington
11688,Longbranch,Washington
1308,Granger,Washington
13113,North Fort Lewis,Washington
1209,Tampico,Washington
36861,Tukwila,Washington
978,Cathlamet,Washington
754,Wenatchee,Washington
9065,Port Ludlow,Washington
904,Castle Rock,Washington
489,Glacier,Washington
760,Index,Washington
47,Republic,Washington
32847,Bellevue,Washington
74,Malo,Washington
11804,Anderson Island,Washington
18082,University Place,Washington
458,Montesano,Washington
5616,Rainier,Washington
2934,Fords Prairie,Washington
11129,Roy,Washington
3093,Oso,Washington
89,Marblemount,Washington
12893,Elk Plain,Washington
3012,Burlington,Washington
0,Bangor Base,Washington
33065,Beaux Arts Village,Washington
0,Port Gamble Tribal Community,Washington
5929,Olympia,Washington
806,East Wenatchee,Washington
253,Addy,Washington
21014,Minnehaha,Washington
36392,Bryn Mawr-Skyway,Washington
837,Satsop,Washington
10896,Riverbend,Washington
164,Easton,Washington
22260,Silverdale,Washington
855,Napavine,Washington
8090,Lochsloy,Washington
486,Ellensburg,Washington
9641,McKenna,Washington
3952,Fairfield,Washington
0,Northwest Stanwood,Washington
148,Mansfield,Washington
28078,Duvall,Washington
435,Markham,Washington
16714,Waller,Washington
1235,Longview,Washington
2112,Richland,Washington
26727,Rosedale,Washington
21364,Vancouver,Washington
29147,Bethel,Washington
16020,Custer,Washington
20657,Lofall,Washington
4928,Fairwood,Washington
1301,Winlock,Washington
15989,Sumner,Washington
28947,Cottage Lake,Washington
0,Puget Island,Washington
14623,Woods Creek,Washington
18418,Washougal,Washington
6959,Sisco Heights,Washington
29447,Canterwood,Washington
1489,Wapato,Washington
0,Lower Elochoman,Washington
7265,Lake Goodwin,Washington
120,Banks Lake South,Washington
34047,Kent,Washington
71,Bickleton,Washington
1326,Ryderwood,Washington
