Expected_jobs,Actual_jobs,City,State
189,148,Roslyn,Washington
187,111,Sprague,Washington
27597,1106,Gig Harbor,Washington
3269,992,Tenino,Washington
1040,649,Jamestown,Washington
13932,1335,Three Lakes,Washington
181,71,Pateros,Washington
638,309,Rosburg,Washington
16111,710,Parkland,Washington
1657,921,Birch Bay,Washington
352,239,Ashford,Washington
27347,783,Navy Yard City,Washington
221,120,Omak,Washington
517,290,Farmington,Washington
13600,497,Buckley,Washington
26062,15,Cathcart,Washington
23989,565,Poulsbo,Washington
2892,655,Anacortes,Washington
34654,536,Maplewood,Washington
101,33,Creston,Washington
5670,1028,Rockford,Washington
548,277,Wishram,Washington
2744,448,Centralia,Washington
14855,317,South Hill,Washington
1172,634,Longview Heights,Washington
22088,2,Erlands Point-Kitsap Lake,Washington
4417,1004,Amboy,Washington
185,17,St. John,Washington
882,195,Dallesport,Washington
1166,769,Mesa,Washington
17591,16,Fife,Washington
456,335,Moses Lake North,Washington
248,143,Chewelah,Washington
424,224,Grayland,Washington
406,247,Kittitas,Washington
4914,409,Camano,Washington
2043,759,North Bonneville,Washington
772,0,Klickitat,Washington
616,232,Loon Lake,Washington
474,266,Newport,Washington
4978,61,Mead,Washington
739,537,Cashmere,Washington
497,85,Aberdeen Gardens,Washington
365,0,Ocean Shores,Washington
1233,38,Basin City,Washington
11438,10,Wilkeson,Washington
17889,648,Meadow Glade,Washington
5019,84,Arlington Heights,Washington
1172,540,Uniontown,Washington
281,18,Oakesdale,Washington
1174,0,West Side Highway,Washington
206,0,Conconully,Washington
418,73,Latah,Washington
1763,122,Elma,Washington
1506,741,Tieton,Washington
35508,9,Southworth,Washington
29655,552,Danville,Washington
1521,247,Toppenish,Washington
730,5,River Road,Washington
2722,17,Geneva,Washington
1363,0,Yakima,Washington
1471,0,Moxee,Washington
28888,10,Edmonds,Washington
1972,39,Kalama,Washington
73,10,Laurier,Washington
35305,11,Vashon,Washington
4942,7,Country Homes,Washington
272,140,Darrington,Washington
54,19,Metaline Falls,Washington
840,1,Lyle,Washington
533,0,Cascade Valley,Washington
4521,15,Spangle,Washington
173,16,Methow,Washington
789,41,Waterville,Washington
9978,0,Lake Roesiger,Washington
24389,0,Milton,Washington
388,0,Krupp,Washington
15040,5,Alderton,Washington
