Title,Lenght,Other
Data Scientist,3,['Senior']
Data Scientist,3,['Senior']
Data Scientist,3,['III']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Principal']
Data Scientist,6,"['Fall', '2020', 'Student', 'Opportunities']"
Data Scientist,2,[]
Data Scientist,6,"['Senior', 'Toronto', 'Intact', 'Lab']"
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Sr']
Data Scientist,3,['Engineer']
Data Scientist,4,"['Team', 'Lead']"
Data Scientist,3,['Sr']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,4,"['Time', 'Series']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,4,"['Intact', 'Lab']"
Data Scientist,2,[]
Data Scientist,3,['Lead']
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Data,14,"['Actuarial', 'Analyst', 'all', 'levels', 'Scientists', 'all', 'levels', 'Support', 'to', 'Hong', 'Kong', 'Lab']"
Data Scientist,11,"['Scientifique', 'des', 'donn', 'es', '4', 'mois', '4', 'months', '']"
Data Scientist,11,"['Scientifique', 'des', 'donn', 'es', '4', 'mois', '4', 'months', '']"
Data Scientist,8,"['Senior', 'Scientifique', 'des', 'donn', 'es', 'principal']"
Data Scientist,2,[]
Data Scientist,9,"['Lead', 'Scientifique', 'des', 'donn', 'es', 'en', 'chef']"
Data Scientist,2,[]
Data Scientist,6,"['Scientifique', 'de', 'Donn', 'es']"
Data Scientist,2,[]
Data Scientist,4,"['Senior', 'NLP']"
Data Scientist,2,[]
Data Scientist,7,"['Marketing', 'm', 'f', 'd', '']"
Data Scientist,3,['Intern']
Data Scientist,2,[]
Data Scientist,4,"['Senior', 'NLP']"
Data Scientist,3,['']
Data Scientist,6,"['Scientifique', 'des', 'donn', 'es']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,5,"['Senior', 'AI', 'Unity']"
Data Scientist,3,['Sr']
Data Scientist,3,['Analyst']
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,3,['Lead']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Spatial']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,6,"['R', 'D', 'Batteries', '']"
Data Scientist,2,[]
Data Scientist,3,['Junior']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Environmental']
Data Scientist,7,"['Senior', 'Quebec', 'City', 'Intact', 'Lab']"
Data Scientist,5,"['Sponsored', 'Brands', 'Recommendations']"
Data Scientist,3,['Lead']
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,5,"['Customer', 'Acquisition', '']"
Data Scientist,2,[]
Data Scientist,5,"['Lead', 'Scoring', '']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,5,"['Premium', 'Products', 'Discovery']"
Data Scientist,2,[]
Data Scientist,13,"['Engineer', 'SAS', 'R', 'code', 'Python', 'Sql', 'Open', 'to', 'remote', 'Workers', '']"
Data Scientist,2,[]
Data Scientist,4,"['Machine', 'Learning']"
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,3,['Principal']
Data Scientist,9,"['Principal', 'Associate', 'Small', 'Business', 'Card', 'Entity', 'Resolution']"
